State,County,% Fair or Poor Health,% Low birthweight,% Smokers,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia rate per 100000,Teen Birth Rate,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,% With Annual Mammogram,% Vaccinated (Influenza),% Children in Poverty,Income Ratio (80th% : 20th%),% Children in Single-Parent Households,Social Association Rate,Annual Average Violent Crimes,Violent Crime Rate,Injury Death Rate,Average Daily Air Polution above 2.5 ppm,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
Alaska,Southeast Fairbanks,16,4,22,6.2,19,100,20,33,217.8,32,1153:01:00,1723:01:00,627:01:00,26,25,16,4.6,14,4.3,,,96,,No,22,68,11
Alaska,Valdez-Cordova,14,5,19,7.1,22,100,20,40,495.8,15,833:01:00,2301:01:00,511:01:00,,,10,3.9,17,16.4,20,316,121,,Yes,15,61,5
Alaska,Wrangell,18,,23,7.6,28,,19,,,,834:01:00,2502:01:00,278:01:00,,,11,4.4,24,0,0,0,138,,Yes,13,65,0
Alaska,Yakutat,19,,24,6.2,32,100,19,,,,604:00:00,579:00:00,579:01:00,,,27,3.2,10,0,,,,,No,14,47,0
Alaska,Yukon-Koyukuk,28,5,33,2.1,25,100,19,29,1230.2,35,5327:01:00,2615:01:00,872:01:00,33,27,31,6,33,0,,,248,,Yes,52,23,9
Arizona,,19,7,14,6.8,21,85,18,25,581.6,25,1523:01:00,1586:01:00,713:01:00,40,45,19,4.5,26,5.6,29750,435,86,6.3,,18,76,36
Arizona,Apache,31,7,25,2.2,26,19,15,34,905,34,2565:01:00,1356:01:00,998:01:00,24,36,45,7.7,38,3.2,79,109,202,6,Yes,31,79,42
Arizona,Cochise,20,8,17,6.7,24,60,20,30,373.5,31,1837:01:00,1657:01:00,818:01:00,36,33,26,4.6,30,8.2,366,333,90,3.9,Yes,14,79,23
Arizona,Coconino,18,8,17,6.8,17,83,20,23,753.7,16,1221:01:00,1281:01:00,472:01:00,31,39,15,5,29,9.2,498,357,107,6.3,No,25,69,16
Arizona,Gila,22,9,23,5.9,27,92,20,17,413.1,48,2566:01:00,1801:01:00,1422:01:00,35,39,32,4.7,31,9.1,303,574,161,6.3,No,16,80,19
Arizona,Graham,22,8,20,6.2,23,56,19,30,437.7,39,1904:01:00,1618:01:00,2427:01:00,35,39,25,5,28,5,36,109,74,5.7,No,16,79,17
Arizona,Greenlee,20,7,17,5.8,19,46,19,60,507.7,39,1897:01:00,4749:01:00,9498:01:00,29,29,11,3.2,17,5.3,4,41,69,6,No,10,87,12
Arizona,La Paz,26,6,22,5.7,38,39,18,11,344.6,48,3516:01:00,2345:01:00,1319:01:00,27,30,33,5.1,45,5.2,50,264,157,2.4,Yes,15,75,18
Arizona,Maricopa,18,7,15,8,20,92,19,25,614.4,23,1448:01:00,1466:01:00,701:01:00,41,48,18,4.4,25,5.3,17044,409,78,9.5,Yes,18,76,38
Arizona,Mohave,23,7,25,5.7,32,59,21,24,258.7,30,1888:01:00,2282:01:00,1396:01:00,39,39,28,4.1,31,5.4,445,221,125,6.6,Yes,17,79,19
Arizona,Navajo,27,9,23,4.6,27,56,16,25,703,40,1648:01:00,1608:01:00,1109:01:00,31,39,35,5.7,34,6.8,304,281,152,6.7,Yes,24,73,26
Arizona,Pima,18,7,17,7.5,19,88,20,26,653.9,22,1167:01:00,1536:01:00,521:01:00,47,48,19,4.7,29,6.3,4761,470,92,6.4,Yes,19,77,35
Arizona,Pinal,22,7,19,7.7,28,66,19,24,415.6,26,6125:01:00,3236:01:00,1369:01:00,39,44,17,4,24,3.4,884,221,68,12.4,Yes,15,78,53
Arizona,Santa Cruz,28,7,16,6.7,18,67,17,18,480.4,32,2114:01:00,3875:01:00,2906:01:00,34,35,28,4.7,28,4.7,66,140,59,9.9,No,22,85,24
