county_name,crime rate per 100000,Murder rate per 100000,Rape rate per 100000,Robbery rate per 100000,Aggrevated Assault rate per 100000,Burglery rate per 100000,Larceny rate per 100000,Motor Vehicle Theft rate per 100000,Arson rate per 100000
"Southampton County, VA",148.940865,0,16.548985,22.06531333,110.3265666,518.5348632,1246.690203,187.5551633,11.03265666
"Judith Basin County, MT",148.8095238,0,49.6031746,0,99.20634921,0,49.6031746,148.8095238,0
"McPherson County, KS",148.8044912,3.381920254,27.05536203,6.763840509,111.6033684,1058.54104,1423.788427,87.92992661,13.52768102
"Pennington County, MN",148.7462813,7.083156254,84.99787505,7.083156254,49.58209378,297.4925627,1685.791189,92.08103131,14.16631251
"Culpeper County, VA",148.4352451,2.061600627,24.73920752,28.86240877,92.7720282,212.3448646,1527.646064,101.0184307,2.061600627
"Concho County, TX",148.40465,0,0,0,148.40465,98.93643334,24.73410834,0,0
"Shelby County, OH",148.3981135,0,20.3285087,36.59131566,93.51114002,735.892015,2274.760124,77.24833306,28.45991218
"Union County, OR",148.1365975,0,50.67830968,7.796663028,89.66162482,732.8863247,2050.522376,116.9499454,27.2883206
"Bingham County, ID",147.9355266,0,35.32788695,11.03996467,99.35968205,468.0945021,1117.244425,86.11172444,8.831971738
"Dickinson County, KS",147.8912744,0,20.39879647,5.099699118,122.3927788,805.7524606,1550.308532,112.1933806,5.099699118
"Brazoria County, TX",147.7704229,2.422465949,19.98534408,27.55555017,97.8070627,469.6555859,1359.003398,87.51158242,8.478630822
"Todd County, MN",147.6499057,0,41.01386269,4.101386269,102.5346567,365.0233779,1025.346567,57.41940776,4.101386269
"Gasconade County, MO",147.6410979,0,0,6.710958996,140.9301389,496.6109657,1254.949332,120.7972619,20.13287699
"Collin County, TX",147.640674,1.286883846,21.40906762,46.09383957,78.85088292,408.176158,1506.707005,107.5132958,7.487324194
"Marion County, IA",147.3595573,0,27.06604114,0,120.2935162,219.535667,402.9832792,30.07337904,6.014675809
"Pend Oreille County, WA",147.3325062,23.2630273,23.2630273,7.754342432,93.05210918,1256.203474,2202.233251,263.6476427,0
"Young County, TX",147.2111662,0,43.61812333,5.452265416,98.14077749,708.7945041,1717.463606,76.33171583,27.26132708
"Iowa County, IA",146.9687691,0,6.123698714,6.123698714,134.7213717,244.9479486,747.0912431,67.36068585,6.123698714
"Grant County, WI",146.8601304,0,21.53948579,1.958135072,123.3625095,336.7992324,1562.591788,45.03710666,5.874405216
"Prince William County, VA",146.8375211,0.456017146,10.94441151,48.79383465,86.64325779,215.240093,1289.61649,85.95923207,11.8564458
"Perry County, MO",146.8120805,0,5.243288591,10.48657718,131.0822148,335.5704698,1022.441275,52.43288591,15.72986577
"Jefferson County, PA",146.7775653,2.223902504,33.35853756,13.34341502,97.85171018,311.3463506,709.4248988,35.58244007,15.56731753
